Title,Author,Character,Gender,Location,Longitude,Latitude
Puck,Ouida,Earl of Guilliadene or Ned,Male,Chelsea,-0.171009,51.486891
Puck,Ouida,Earl of Guilliadene or Ned,Male,Henley,-0.900181,51.550261
Puck,Ouida,Earl of Guilliadene or Ned,Male,Wargrave ,-0.874927,51.501711
Puck,Ouida,Earl of Guilliadene or Ned,Male,Hyde park,-0.165772,51.507241
Puck,Ouida,Mark Mountmorris,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Mrs. Gertrude D'Eyncourt,Female,London stage,-0.124976,51.53258
Puck,Ouida,Mrs. Gertrude D'Eyncourt,Female,"Homburg, Germany",7.340883,49.330369
Puck,Ouida,Mrs. Gertrude D'Eyncourt,Female,Or near Frankfurt__,8.681173,50.112616 8.681173
Puck,Ouida,Alice Beaujolais,Female,London,-0.071321,51.514246
Puck,Ouida,Alice Beaujolais,Female,St James street,-0.139306,51.506727
Puck,Ouida,Alice Beaujolais,Female,Ascot,-0.675758,51.407888
Puck,Ouida,Alice Beaujolais,Female,Germany,10.272262,51.038519
Puck,Ouida,Alice Beaujolais,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Lady Otho,Female,Channel,-0.517975,50.467211
Puck,Ouida,Lady Otho,Female,Rome,12.496365,41.902782
Puck,Ouida,Lady Otho,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Maude Delamere,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Maude Delamere,Female,Richmond hill ,-0.29981,51.454208
Puck,Ouida,Maude Delamere,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Maude Delamere,Female,Spa ,-0.137434,50.826989
Puck,Ouida,Maude Delamere,Female,"Homburg, Germany",7.340883,49.330369
Puck,Ouida,Maude Delamere,Female,Baden ,8.226383,48.772326
Puck,Ouida,Maude Delamere,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Duchess of Astolat,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Lady Gwendolyn,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Fiodora,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Baron Moresco,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Lord Brune,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Lord Brune,Male,St James street,-0.139306,51.506727
Puck,Ouida,Lord Brune,Male,Hyde park,-0.165772,51.507241
Puck,Ouida,Freddy Orforf,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Freddy Orforf,Male,St James street,-0.139306,51.506727
Puck,Ouida,Astolat dog,Unknown,Rotten Row,-0.165731,51.507282
Puck,Ouida,Astolat dog,Unknown,Rotten Row,-0.165731,51.507282
Puck,Ouida,Philip Cornaro,Male,Biscay coast,-0.517355,50.816627
Puck,Ouida,Peel Vavasour,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Sir George Maude of Effingham,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Sir George Maude of Effingham,Male,Paris,2.352222,48.856613
Puck,Ouida,Vivyan Bruce,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Beatrice Silviera,Female,Cliefden,-10.02025,53.48911
Puck,Ouida,Jupiter Tonans,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Duke of Astolat,Male,Richmond hill ,-0.29981,51.454208
Puck,Ouida, Ned Guilliadene,Male,Richmond hill ,-0.29981,51.454208
Puck,Ouida,Paget Ablemarle,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Old Wynch,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Old Wynch,Male,Surrey,-0.05441,51.49923
Puck,Ouida, Nellie Brown,Female,Berks,-1.193017,51.518769
Puck,Ouida, Nellie Brown,Female,London,-0.127758,51.507351
Puck,Ouida, Nellie Brown,Female,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida, Nellie Brown,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida, Nellie Brown,Female,Palace theater in the Strand,-0.129469,51.513449
Puck,Ouida, Nellie Brown,Female,South Kensington ,-0.178883,51.496107
Puck,Ouida, Nellie Brown,Female,South kensington,-0.215595,51.514273
Puck,Ouida,Prince de Ferras ,Male,Ascot,-0.675758,51.407888
Puck,Ouida,Neil Strathalan,Male,Norway,9.395836,61.901033
Puck,Ouida,Neil Strathalan,Male,Bucks,-0.811092,51.865959
Puck,Ouida,Spirka,Male,Raulthelhautszeim,-4.316908,57.075273
Puck,Ouida,Spirka,Male,Between civita vecchio and rome,12.11831,41.967678
Puck,Ouida,Matteo,Male,Between civita vecchio and rome,12.11831,41.967678
Puck,Ouida,Giacone ,Male,Campagna ,15.10644,40.663342
Puck,Ouida,Giacone ,Male,Rome,12.496365,41.902782
Puck,Ouida,Giacone ,Male,Ostia,9.84587,44.519539
Puck,Ouida,Giacone ,Male,Marseille ,5.36978,43.296482
Puck,Ouida,Giacone ,Male,Paris,2.352222,48.856613
Puck,Ouida,Giacone ,Male,Sevres,2.21059,48.824169
Puck,Ouida,Giacone ,Male,Versailles ,2.131538,48.801488
Puck,Ouida,Russ,Male,Silver stag,0.230698,43.993307
Puck,Ouida,Madelon,Female,Silver stag,0.230698,43.993307
Puck,Ouida,Madelon,Female,Paris,2.352222,48.856613
Puck,Ouida,Madelon,Female,Silver stag,0.230698,43.993307
Puck,Ouida,Madelon,Female,Convent,2.345822,48.833399
Puck,Ouida,Carlos Merle,Male,Silver stag,0.230698,43.993307
Puck,Ouida,Carlos Merle,Male,Paris,2.352222,48.856613
Puck,Ouida,Carlos Merle,Male,Bois ,2.248983,48.862378
Puck,Ouida,Manon Bris,Female,Silver stag,0.230698,43.993307
Puck,Ouida,Madame Reine,Female,Alps,9.657,46.887619
Puck,Ouida,Madame Reine,Female,Paris,0.230698,43.993307
